ID,State,District,Crop,Year,Season,Area,Production,Area_units,Fertilizer,Pesticide,Yield
0,Karnataka,BANGALORE RURAL,Arecanut,2015-16,Whole Year,1569.00,15379.00,Hectare,7024878.38,22882.34,9.80
1,Karnataka,BELGAUM,Arecanut,2015-16,Whole Year,4.00,39.00,Hectare,631643.29,2057.47,9.75
2,Karnataka,BENGALURU URBAN,Arecanut,2015-16,Whole Year,222.00,2176.00,Hectare,75755.32,246.76,9.80
3,Karnataka,CHAMARAJANAGAR,Arecanut,2015-16,Whole Year,301.00,2950.00,Hectare,1870661.52,6093.36,9.80
4,Karnataka,CHIKBALLAPUR,Arecanut,2015-16,Whole Year,182.00,1784.00,Hectare,165500.63,539.09,9.80
5,Karnataka,CHIKMAGALUR,Arecanut,2015-16,Whole Year,29322.00,152691.00,Hectare,1293074.79,4211.97,5.21
6,Karnataka,CHITRADURGA,Arecanut,2015-16,Whole Year,17506.00,179375.00,Hectare,283511.43,923.49,10.25
7,Karnataka,DAKSHIN KANNAD,Arecanut,2015-16,Whole Year,35409.00,370005.00,Hectare,8995468.40,29301.20,10.45
8,Karnataka,DAVANGERE,Arecanut,2015-16,Whole Year,35045.00,308955.00,Hectare,961026.66,3130.38,8.82
9,Karnataka,DHARWAD,Arecanut,2015-16,Whole Year,18.00,176.00,Hectare,1828786.72,5956.96,9.78
10,Karnataka,GADAG,Arecanut,2015-16,Whole Year,2.00,20.00,Hectare,562930.55,1833.65,10.00
11,Karnataka,HASSAN,Arecanut,2015-16,Whole Year,3650.00,35777.00,Hectare,943515.38,3073.34,9.80
12,Karnataka,HAVERI,Arecanut,2015-16,Whole Year,2414.00,23662.00,Hectare,745371.44,2427.92,9.80
13,Karnataka,KODAGU,Arecanut,2015-16,Whole Year,4584.00,44932.00,Hectare,10306625.49,33572.07,9.80
14,Karnataka,MANDYA,Arecanut,2015-16,Whole Year,873.00,8557.00,Hectare,7162399.03,23330.29,9.80
15,Karnataka,MYSORE,Arecanut,2015-16,Whole Year,1485.00,14556.00,Hectare,26580219.64,86580.52,9.80
16,Karnataka,RAMANAGARA,Arecanut,2015-16,Whole Year,1736.00,17016.00,Hectare,57802260.86,188280.98,9.80
17,Karnataka,SHIMOGA,Arecanut,2015-16,Whole Year,52550.00,505418.00,Hectare,16652275.58,54241.94,9.62
18,Karnataka,TUMKUR,Arecanut,2015-16,Whole Year,34719.00,351452.00,Hectare,165911859.60,540429.51,10.12
19,Karnataka,UDUPI,Arecanut,2015-16,Whole Year,7905.00,151863.00,Hectare,1500355.05,4887.15,19.21
20,Karnataka,UTTAR KANNAD,Arecanut,2015-16,Whole Year,18431.00,243411.00,Hectare,998333.30,3251.90,13.21
21,Karnataka,BANGALORE RURAL,Arecanut,2016-17,Whole Year,2322.00,23588.00,Hectare,14741982.22,35745.36,10.16
22,Karnataka,BELGAUM,Arecanut,2016-17,Whole Year,3.00,30.00,Hectare,11580.66,28.08,10.00
23,Karnataka,BELLARY,Arecanut,2016-17,Whole Year,11.00,112.00,Hectare,3288115.60,7972.80,10.18
24,Karnataka,BENGALURU URBAN,Arecanut,2016-17,Whole Year,264.00,2682.00,Hectare,1703841.72,4131.36,10.16
25,Karnataka,CHAMARAJANAGAR,Arecanut,2016-17,Whole Year,347.00,3525.00,Hectare,6916326.48,16770.24,10.16
26,Karnataka,CHIKBALLAPUR,Arecanut,2016-17,Whole Year,108.00,1097.00,Hectare,50433675.32,122288.16,10.16
27,Karnataka,CHIKMAGALUR,Arecanut,2016-17,Whole Year,29045.00,166201.00,Hectare,10790700.62,26164.56,5.72
28,Karnataka,CHITRADURGA,Arecanut,2016-17,Whole Year,17663.00,160962.00,Hectare,142925734.30,346556.64,9.11
29,Karnataka,DAKSHIN KANNAD,Arecanut,2016-17,Whole Year,36725.00,450109.00,Hectare,53998143.08,130931.04,12.26
30,Karnataka,DAVANGERE,Arecanut,2016-17,Whole Year,35796.00,406297.00,Hectare,401858.80,974.40,11.35
31,Karnataka,DHARWAD,Arecanut,2016-17,Whole Year,29.00,295.00,Hectare,2720465.30,6596.40,10.17
32,Karnataka,GADAG,Arecanut,2016-17,Whole Year,2.00,20.00,Hectare,11938175.76,28946.88,10.00
33,Karnataka,HASSAN,Arecanut,2016-17,Whole Year,3436.00,34904.00,Hectare,649803.70,1575.60,10.16
34,Karnataka,HAVERI,Arecanut,2016-17,Whole Year,2848.00,28931.00,Hectare,5407178.42,13110.96,10.16
35,Karnataka,KODAGU,Arecanut,2016-17,Whole Year,4588.00,46607.00,Hectare,46124.68,111.84,10.16
36,Karnataka,MANDYA,Arecanut,2016-17,Whole Year,565.00,5739.00,Hectare,24085892.18,58401.84,10.16
37,Karnataka,MYSORE,Arecanut,2016-17,Whole Year,1567.00,15918.00,Hectare,3740949.10,9070.80,10.16
38,Karnataka,RAMANAGARA,Arecanut,2016-17,Whole Year,1878.00,19077.00,Hectare,9704989.00,23532.00,10.16
39,Karnataka,SHIMOGA,Arecanut,2016-17,Whole Year,55256.00,629637.00,Hectare,1128075.06,2735.28,11.39
40,Karnataka,TUMKUR,Arecanut,2016-17,Whole Year,35680.00,262981.00,Hectare,5533575.88,13417.44,7.37
41,Karnataka,UDUPI,Arecanut,2016-17,Whole Year,7980.00,81570.00,Hectare,8549496.48,20730.24,10.22
42,Karnataka,UTTAR KANNAD,Arecanut,2016-17,Whole Year,18527.00,246513.00,Hectare,63149.24,153.12,13.31
43,Karnataka,BANGALORE RURAL,Arecanut,2017-18,Whole Year,1911.00,20726.00,Hectare,52682203.98,127740.24,10.85
44,Karnataka,BELLARY,Arecanut,2017-18,Whole Year,14.00,152.00,Hectare,1058492.12,2566.56,10.86
45,Karnataka,BENGALURU URBAN,Arecanut,2017-18,Whole Year,297.00,3221.00,Hectare,37212223.86,90229.68,10.85
46,Karnataka,CHAMARAJANAGAR,Arecanut,2017-18,Whole Year,351.00,3807.00,Hectare,392950.60,952.80,10.85
47,Karnataka,CHIKBALLAPUR,Arecanut,2017-18,Whole Year,110.00,1193.00,Hectare,67086565.42,162666.96,10.85
48,Karnataka,CHIKMAGALUR,Arecanut,2017-18,Whole Year,29298.00,198104.00,Hectare,16302302.94,39528.72,6.76
49,Karnataka,CHITRADURGA,Arecanut,2017-18,Whole Year,24244.00,260057.00,Hectare,693552.86,1681.68,10.73
50,Karnataka,DAKSHIN KANNAD,Arecanut,2017-18,Whole Year,39396.00,425512.00,Hectare,6354417.02,15407.76,10.80
51,Karnataka,DAVANGERE,Arecanut,2017-18,Whole Year,44723.00,649526.00,Hectare,26169520.16,63454.08,14.52
52,Karnataka,DHARWAD,Arecanut,2017-18,Whole Year,32.00,347.00,Hectare,10018854.58,24293.04,10.84
53,Karnataka,GADAG,Arecanut,2017-18,Whole Year,3.00,33.00,Hectare,5253462.48,12738.24,11.00
54,Karnataka,HASSAN,Arecanut,2017-18,Whole Year,3553.00,38534.00,Hectare,598631.04,1451.52,10.85
